lat,lon,direction
39.8270719,-104.915162,65
39.819657,-104.9236513,85
39.7117837,-105.0711901,200
39.7580083,-105.0085529,10
39.6657727,-104.9877601,165
39.6504278,-104.9878441,175
39.6523691,-104.9875173,355
39.7593128,-105.007626,215
39.6787388,-104.9874179,340
39.7238017,-105.1886001,240
39.6839363,-104.8667285,320
39.6855548,-104.8673341,140
39.959121,-105.0835112,30
39.9577891,-104.9900481,250
39.9161745,-104.9759545,45
39.6862075,-104.8202302,30
39.6866953,-104.8205012,10
39.6868489,-104.8204485,240
39.6867218,-104.8223997,20
39.6585586,-105.1931615,
39.6053791,-104.7064102,280
39.5606834,-104.8789129,265
39.5643286,-104.8802123,310
39.5629614,-104.873148,105
39.5593368,-104.8736325,180
39.9693042,-105.0466481,300
39.9694501,-105.0470195,120
39.9670631,-105.0482634,300
39.9670455,-105.0482762,120
39.9670441,-105.047368,300
39.967037,-105.0474805,120
39.9649502,-105.0474861,120
39.9649698,-105.0474283,300
39.9491371,-105.0347191,240
39.6973765,-104.8823136,0
39.7873338,-105.0252769,180
39.6563207,-105.0531394,0
39.6823578,-105.0250187,0
39.6808082,-105.0771089,145
39.6559353,-104.8996879,230
39.6567551,-104.8997033,210
39.657095,-104.9006569,100
39.6558069,-104.9002078,170
39.6542459,-104.8997178,10
39.5634494,-104.8839588,120
39.5634254,-104.883304,170
39.5629301,-104.8821988,170
39.5629955,-104.881976,280
39.5971071,-104.8843367,30
39.5984924,-104.8852139,200
39.6543572,-104.8994649,250
39.6514094,-104.8998043,260
39.7459031,-105.0001061,80;307
39.6386725,-104.737965,235
39.6371143,-104.7353369,135
39.6099226,-105.0546085,250
39.7728684,-104.9755575,45
39.7730523,-104.9755061,137
39.7730609,-104.9753634,230
39.7728867,-104.9753671,318
39.7494309,-104.9733192,329
39.7380254,-105.1584906,215
39.7352338,-105.1602838,335
39.7617626,-104.9129677,0
39.6093425,-105.1503484,61
39.7699986,-104.7764284,215
39.7697646,-104.7767422,50
39.7712299,-104.7780173,225
39.7596356,-104.987585,345
39.539532,-104.9421905,348
39.5395465,-104.9447652,343
39.5393592,-104.9433143,191
39.5393167,-104.942318,181
39.5372463,-104.9475119,93
39.6257882,-104.7911406,95
39.7331473,-105.0606587,240
39.7507813,-104.9596849,220
39.9464831,-104.7899015,160
39.6966578,-105.0248545,70
39.8532828,-105.0809987,58
39.6982976,-104.8915555,40
39.6749015,-104.8766429,260
39.6348815,-105.0534927,90
39.7511926,-104.9828552,50
39.8509137,-104.6676218,332
39.8506806,-104.6675751,238
39.747502,-104.8776194,256
39.8442248,-104.6712922,210
39.7474228,-104.8658003,269;96
39.747366,-104.8775344,77
39.6963818,-104.866179,150
39.6967496,-104.8657692,320
39.6963841,-104.8675354,200
39.6963852,-104.8667834,150
39.6954659,-104.8663885,250
39.6948427,-104.8661783,250
39.7646916,-104.7668646,9
39.7646916,-104.7668646,83
39.7660749,-104.7655712,14
39.5893631,-104.678727,277
39.7019182,-105.2057215,0;0;38
39.5805446,-104.9194075,0
39.5839429,-104.9228433,78
39.8487607,-105.0693459,293
39.8487607,-105.0693459,293
39.5580961,-104.839022,65
39.6516037,-104.9000325,260
39.6527299,-104.9006851,801
39.6523809,-104.9007015,260
39.6528867,-104.9002667,150
39.6528389,-104.9017302,140
39.6527356,-104.9023797,180
39.6522695,-104.9026354,180
39.6529356,-104.9029581,150
39.8437731,-104.6762442,101
39.8481332,-104.6820736,202
39.8437101,-104.6762145,140
39.7388409,-105.193276,300;110
39.5545288,-105.1537955,81;260
39.7330667,-105.0531903,80
39.6981526,-105.0514902,215
39.5948658,-104.8700814,69
39.5948368,-104.8352136,68
39.6105877,-105.0304266,170
39.5350582,-104.885627,220
39.5775974,-105.1455991,224
39.5948091,-104.8249254,72
39.7608525,-105.0059601,210
39.7608525,-105.0059601,210
39.7608525,-105.0059601,210
39.5951149,-104.8269575,263
39.5952254,-104.8628934,258
39.7686331,-104.7657968,114
39.6568154,-104.9012136,190
39.635124,-105.1596472,67
39.5910738,-104.8664782,349
39.5804531,-104.8723413,110
39.5852845,-104.8787149,139
39.7232398,-105.1655977,149
39.8201042,-105.0813685,0
39.8201253,-105.0814881,0
39.5951892,-104.9197396,2400
39.5833215,-104.9603541,171
39.5959116,-104.8805376,94
39.638326,-104.7513881,57
39.638194,-104.7491749,157
39.6077129,-104.7151667,162
39.6057713,-104.7152902,62
39.7889233,-105.1105984,163
39.5496851,-104.9937084,227
39.7871283,-105.1119323,25
39.6104175,-105.1097529,336
39.618182,-105.0868258,116
39.6201584,-105.0900313,0
39.6201555,-105.0886312,345
39.6172999,-105.0874602,65
39.6173897,-105.0874715,106
39.7002764,-104.8277172,294
39.7437997,-104.8752483,92;267
39.7181357,-105.032507,166
39.7384751,-105.0626461,182
39.740151,-105.0625845,184
39.6099954,-105.1001275,10-55
39.9143319,-105.0085303,199
39.8852523,-104.9294636,238
